station_id,fname,pname
73,jahreswerte_KL_00073_19530101_20191231_hist.zip,produkt_klima_jahr_19530101_20191231_00073.txt
142,jahreswerte_KL_00142_19550101_20191231_hist.zip,produkt_klima_jahr_19550101_20191231_00142.txt
151,jahreswerte_KL_00151_18810101_20191231_hist.zip,produkt_klima_jahr_18810101_20191231_00151.txt
154,jahreswerte_KL_00154_19940101_20191231_hist.zip,produkt_klima_jahr_19940101_20191231_00154.txt
191,jahreswerte_KL_00191_18840101_20191231_hist.zip,produkt_klima_jahr_18840101_20191231_00191.txt
217,jahreswerte_KL_00217_19380101_20191231_hist.zip,produkt_klima_jahr_19380101_20191231_00217.txt
232,jahreswerte_KL_00232_19470101_20191231_hist.zip,produkt_klima_jahr_19470101_20191231_00232.txt
282,jahreswerte_KL_00282_18810101_20191231_hist.zip,produkt_klima_jahr_18810101_20191231_00282.txt
320,jahreswerte_KL_00320_18510101_20191231_hist.zip,produkt_klima_jahr_18510101_20191231_00320.txt
856,jahreswerte_KL_00856_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_00856.txt
867,jahreswerte_KL_00867_18830101_20191231_hist.zip,produkt_klima_jahr_18830101_20191231_00867.txt
983,jahreswerte_KL_00983_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_00983.txt
1103,jahreswerte_KL_01103_19380101_20191231_hist.zip,produkt_klima_jahr_19380101_20191231_01103.txt
1107,jahreswerte_KL_01107_19480101_20191231_hist.zip,produkt_klima_jahr_19480101_20191231_01107.txt
1161,jahreswerte_KL_01161_19520101_20191231_hist.zip,produkt_klima_jahr_19520101_20191231_01161.txt
1262,jahreswerte_KL_01262_19930101_20191231_hist.zip,produkt_klima_jahr_19930101_20191231_01262.txt
1279,jahreswerte_KL_01279_18810101_20191231_hist.zip,produkt_klima_jahr_18810101_20191231_01279.txt
1332,jahreswerte_KL_01332_19370101_20191231_hist.zip,produkt_klima_jahr_19370101_20191231_01332.txt
1357,jahreswerte_KL_01357_19470101_20191231_hist.zip,produkt_klima_jahr_19470101_20191231_01357.txt
1550,jahreswerte_KL_01550_18890101_20191231_hist.zip,produkt_klima_jahr_18890101_20191231_01550.txt
1587,jahreswerte_KL_01587_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_01587.txt
1721,jahreswerte_KL_01721_19910101_20191231_hist.zip,produkt_klima_jahr_19910101_20191231_01721.txt
1735,jahreswerte_KL_01735_19580101_20191231_hist.zip,produkt_klima_jahr_19580101_20191231_01735.txt
1832,jahreswerte_KL_01832_19830101_20191231_hist.zip,produkt_klima_jahr_19830101_20191231_01832.txt
1886,jahreswerte_KL_01886_20170101_20191231_hist.zip,produkt_klima_jahr_20170101_20191231_01886.txt
2023,jahreswerte_KL_02023_20040101_20191231_hist.zip,produkt_klima_jahr_20040101_20191231_02023.txt
2261,jahreswerte_KL_02261_19470101_20191231_hist.zip,produkt_klima_jahr_19470101_20191231_02261.txt
2290,jahreswerte_KL_02290_17810101_20191231_hist.zip,produkt_klima_jahr_17810101_20191231_02290.txt
